channel_url,channel_name,subscribers_count,post_url,id,title,description,views,date_time,audio_caption
https://t.me/c/2430394466,Premium Members Only,0,https://t.me/c/2430394466/24980,24980,**Paap Season 02 S02 AMZN COMBiNED 1080p WEB DL x265 Org AMZN Hindi DD 2.0 ~128Kbps ESubs PMI.mkv**,**Paap Season 02 S02 AMZN COMBiNED 1080p WEB DL x265 Org AMZN Hindi DD 2.0 ~128Kbps ESubs PMI.mkv**,41,2025-10-05 16:16:13,No audio
https://t.me/c/2430394466,Premium Members Only,0,https://t.me/c/2430394466/24979,24979,**Paap Season 01 S01 AMZN COMBiNED 1080p WEB DL x265 Org AMZN Hindi DD 2.0 ~128Kbps ESubs PMI.mkv**,**Paap Season 01 S01 AMZN COMBiNED 1080p WEB DL x265 Org AMZN Hindi DD 2.0 ~128Kbps ESubs PMI.mkv**,42,2025-10-05 16:16:13,No audio
https://t.me/c/2430394466,Premium Members Only,0,https://t.me/c/2430394466/24978,24978,**Sati Ki Golmaal (Sathi Gani Rendu Ekaralu 2023) 1080p HDRip ORG [Dual Audio] [ Hindi + Telugu ] x264 ESubs.mkv**,**Sati Ki Golmaal (Sathi Gani Rendu Ekaralu 2023) 1080p HDRip ORG [Dual Audio] [ Hindi + Telugu ] x264 ESubs.mkv**,41,2025-10-05 16:16:13,No audio
https://t.me/c/2430394466,Premium Members Only,0,https://t.me/c/2430394466/24977,24977,**Sati Ki Golmaal (Sathi Gani Rendu Ekaralu 2023) 720p HDRip ORG [Dual Audio] [ Hindi + Telugu ] x264 ESubs.mkv**,**Sati Ki Golmaal (Sathi Gani Rendu Ekaralu 2023) 720p HDRip ORG [Dual Audio] [ Hindi + Telugu ] x264 ESubs.mkv**,39,2025-10-05 16:16:12,No audio
https://t.me/c/2430394466,Premium Members Only,0,https://t.me/c/2430394466/24976,24976,**Sati Ki Golmaal (Sathi Gani Rendu Ekaralu 2023) 720p HEVC HDRip ORG [Dual Audio] [ Hindi + Telugu ] x264 ESubs.mkv**,**Sati Ki Golmaal (Sathi Gani Rendu Ekaralu 2023) 720p HEVC HDRip ORG [Dual Audio] [ Hindi + Telugu ] x264 ESubs.mkv**,39,2025-10-05 16:16:07,No audio
https://t.me/c/2430394466,Premium Members Only,0,https://t.me/c/2430394466/24975,24975,**Sati Ki Golmaal (Sathi Gani Rendu Ekaralu 2023) 480p HDRip ORG  [Dual Audio] [ Hindi + Telugu ] x264 ESubs.mkv**,**Sati Ki Golmaal (Sathi Gani Rendu Ekaralu 2023) 480p HDRip ORG  [Dual Audio] [ Hindi + Telugu ] x264 ESubs.mkv**,38,2025-10-05 16:16:07,No audio
https://t.me/c/2430394466,Premium Members Only,0,https://t.me/c/2430394466/24974,24974,**Battery (2022) UNCUT 1080p HDRip ORG. [Dual Audio] [ Hindi + Tamil ] x264 ESubs.mkv**,**Battery (2022) UNCUT 1080p HDRip ORG. [Dual Audio] [ Hindi + Tamil ] x264 ESubs.mkv**,37,2025-10-05 16:16:07,No audio
https://t.me/c/2430394466,Premium Members Only,0,https://t.me/c/2430394466/24973,24973,**Battery (2022) UNCUT 720p HDRip ORG. [Dual Audio] [ Hindi + Tamil ] x264 ESubs.mkv**,**Battery (2022) UNCUT 720p HDRip ORG. [Dual Audio] [ Hindi + Tamil ] x264 ESubs.mkv**,37,2025-10-05 16:16:07,No audio
https://t.me/c/2430394466,Premium Members Only,0,https://t.me/c/2430394466/24972,24972,**Battery (2022) UNCUT 720p HEVC HDRip ORG. [Dual Audio] [ Hindi + Tamil ] x264 ESubs.mkv**,**Battery (2022) UNCUT 720p HEVC HDRip ORG. [Dual Audio] [ Hindi + Tamil ] x264 ESubs.mkv**,36,2025-10-05 16:16:07,No audio
https://t.me/c/2430394466,Premium Members Only,0,https://t.me/c/2430394466/24971,24971,**Battery (2022) UNCUT 480p HDRip ORG. [Dual Audio] [ Hindi + Tamil ] x264 ESubs.mkv**,**Battery (2022) UNCUT 480p HDRip ORG. [Dual Audio] [ Hindi + Tamil ] x264 ESubs.mkv**,36,2025-10-05 16:16:07,No audio
https://t.me/c/2430394466,Premium Members Only,0,https://t.me/c/2430394466/24970,24970,**Vada Paav 2025 Marathi HDTC 1080p x264 AAC HC-ESub.mkv**,**Vada Paav 2025 Marathi HDTC 1080p x264 AAC HC-ESub.mkv**,36,2025-10-05 16:16:07,No audio
https://t.me/c/2430394466,Premium Members Only,0,https://t.me/c/2430394466/24969,24969,**Vada Paav 2025 Marathi HDTC 1080p 10bit x265 HEVC HC-ESub.mkv**,**Vada Paav 2025 Marathi HDTC 1080p 10bit x265 HEVC HC-ESub.mkv**,36,2025-10-05 16:16:07,No audio
https://t.me/c/2430394466,Premium Members Only,0,https://t.me/c/2430394466/24968,24968,**Vada Paav 2025 Marathi HDTC 720p x264 AAC HC-ESub.mkv**,**Vada Paav 2025 Marathi HDTC 720p x264 AAC HC-ESub.mkv**,36,2025-10-05 16:16:07,No audio
https://t.me/c/2430394466,Premium Members Only,0,https://t.me/c/2430394466/24967,24967,**Nikka Zaildar 4 (2025) Punjabi HDTC 1080p x264 AAC .mkv**,**Nikka Zaildar 4 (2025) Punjabi HDTC 1080p x264 AAC .mkv**,37,2025-10-05 16:16:06,No audio
https://t.me/c/2430394466,Premium Members Only,0,https://t.me/c/2430394466/24966,24966,**Nikka Zaildar 4 (2025) Punjabi HDTC 720p x264 AAC .mkv**,**Nikka Zaildar 4 (2025) Punjabi HDTC 720p x264 AAC .mkv**,35,2025-10-05 16:16:06,No audio
https://t.me/c/2430394466,Premium Members Only,0,https://t.me/c/2430394466/24965,24965,**Nikka Zaildar 4 (2025) Punjabi HDTC 720p x265 HEVC .mkv**,**Nikka Zaildar 4 (2025) Punjabi HDTC 720p x265 HEVC .mkv**,34,2025-10-05 16:16:06,No audio
https://t.me/c/2430394466,Premium Members Only,0,https://t.me/c/2430394466/24964,24964,**Nikka Zaildar 4 (2025) Punjabi HDTC 480p x264 AAC .mkv**,**Nikka Zaildar 4 (2025) Punjabi HDTC 480p x264 AAC .mkv**,33,2025-10-05 16:16:06,No audio
https://t.me/c/2430394466,Premium Members Only,0,https://t.me/c/2430394466/24963,24963,Nikka Zaildar 3 ( 2019 ) [ Punjabi ] 720p WebRip x264 AAC 5.1 ESubs.mkv,Nikka Zaildar 3 ( 2019 ) [ Punjabi ] 720p WebRip x264 AAC 5.1 ESubs.mkv,34,2025-10-05 16:16:06,No audio
https://t.me/c/2430394466,Premium Members Only,0,https://t.me/c/2430394466/24962,24962,Nikka Zaildar 3 ( 2019 ) [ Punjabi ] 480p WebRip ESubs.mkv,Nikka Zaildar 3 ( 2019 ) [ Punjabi ] 480p WebRip ESubs.mkv,33,2025-10-05 16:16:06,No audio
